card,domain,v7_total,v7_conclusion,A1,A2,A3,B,total,conclusion,reason,model,error
2505.06646_chexnet_reproduction,biomed,83.0,partially_supported,12,20,13,35,80,partially_supported,提交物完整（claim.md/code/results/evidence/report 齐全，代码可运行且 evaluate.py 真实复现了 metrics.json 中的数字）。科学保真：复现版 AUC 0.6495 vs 真值 0.79（相对差 17.8%，≤25% 半满）；增强版 AUC 0.6558 vs 0.85（相对差 22.8%，≤25% 半满）；复现版 F1 0.0507 vs 0.08（绝对差 0.03，±0.15 满档）；增强版 F1 0.2155 vs 0.39（绝对差 0.175，±0.25 半档）。方法严谨：DenseNet-121+BCE/Focal Loss、阈值优化仅用 val、测试分片未参与训练，与论文方法一致，无取巧。证据真实性：evaluate.py 从存储的预测矩阵确定性输出全部指标，与 metrics.json 完全一致，可验证；但冻结子集规模远小于论文全量数据，绝对数值系统性偏低，且增强版 AUC 未超过复现版（与论文方向不一致），故结论为 partially_supported。,DeepSeek-V4-Flash-0731,
2509.10151_benchecg_xecg,biomed,73.0,inconclusive,10,0,12,20,42,unverified,提交物完整（claim/report/code/results/evidence 齐全，代码可运行，metrics.json 与 evidence_table.csv 一致）。但冻结数据包实际 schema 无诊断标签（仅 ecg_id/age/sex/ecg_array），无法复现论文 PTB-XL 诊断分类任务；提交者诚实标注 inconclusive，并仅用辅助目标（sex/age≥65）做流程自检（CNN macro AUROC 0.817/F1 0.710），明确声明与论文锚不可比。A1 交付完整度较高（10/12）；A2 科学保真：核心论断（xECG 0.853/0.674 vs ST-MEM 0.702/0.436）完全未复现，得 0；A3 方法严谨：预处理防泄漏、固定种子、多标签 macro 口径、诚实声明局限，得 12/15；B 证据真实性：metrics.json/evidence_table.csv 与代码输出一致，但未提供诊断任务实测证据，且辅助目标结果不能支撑论文论断，得 20/40。结论为 unverified（数据缺失导致无法验证）。,DeepSeek-V4-Flash-0731,
2606.12651_physics_aware_gnn_ood,biomed,85.0,partially_supported,12,14,15,20,61,partially_supported,"提交物完整（A1=12）：含 claim.md、report.md、code/、results/metrics.json、evidence_table.csv、raw_evals 等多协议证据，代码可运行且证据链闭环。科学保真（A2=14）：基线 OOD AUC 0.98521 与论文 0.9774 相对差 0.8%（≤5% 容差，吻合）；标签分布 81.7/18.3 与论文 82/18 高度一致（相对差 0.4%）；+both Δ=+0.00243（CI [+0.00094,+0.00393] 不含 0，方向为正且与论文同向）定性复现，但定量与论文 +0.0066 差距超 60%；+complexity Δ=-0.00115（方向相反）、+strain Δ=+0.00151（CI 含 0）均未复现论文显著提升，故结论为 partially_supported（受 A2 硬上限 15 约束）。方法严谨（A3=15）：OOD 划分严格无泄漏（COCONUT 不参与训练/验证/超参），配对 bootstrap 10,000 次规范，SAScore 阈值口径与论文一致，提供敏感性协议（regime2）并如实报告协议依赖性，无取巧。证据真实性（B=20）：实测数字与 metrics.json/evidence_table.csv/raw_evals.json 完全一致，无抄写论文数字；但核",DeepSeek-V4-Flash-0731,
2308.13068_mvts_flawed_eval,cs,100.0,partially_supported,12,33,15,40,100,supported,提交物完整：method/（PCA、GRU-AE 两个可运行检测器）、protocols/（逐点与 point-adjust F1）、baselines/（随机猜测 50 次重复）、results/（evidence_table.csv、metrics.json、predictions/*.npz）、report.md 完整回答 Q1-Q4。沙箱实测 verify_frozen_facts.py 通过：PSM 异常比例 27.76%、SWaT 12.14% 与锚值一致；随机猜测逐点 F1 SWaT 0.0044/PSM 0.0217（≈0.01-0.02 量级），point-adjust F1 SWaT 0.947/PSM 0.974（论文 0.95/0.98 量级），差距≥0.94，A1 满分。A2：oracle 口径下 PCA 逐点 F1 SWaT 0.796/PSM 0.613 均高于 GRU-AE 0.789/0.526，简单基线≥深度方法，与论文方向一致（论文 PCA 0.810/0.538）。A3：报告跨协议差异与排序反转（随机猜测在 point-adjust 下超越所有训练方法），四档标签 supported 与证据一致。B：冻结事实与随机猜测逐点 F1 均经沙箱重算验证，证据真实可复现。,DeepSeek-V4-Flash-0731,
2406.00775_constrained_attack,cs,100.0,supported,12,33,15,38,98,supported,提交物完整（代码/evidence_table/metrics/report齐全），数据核验11430×64、phishing=50%与锚一致。实测4个运行（2模型×2seed）CAPGD鲁棒准确率16.9-32.4%，均≤40%，且相对CPGD（99.6-99.9%）下降67-83pp，远超40pp阈值；方向在≥2模型上一致（4/4成立），与论文Table2量级带（10.9-19.3%）吻合。约束满足率1.0。CPGD基线绝对值（~99.6%）高于论文（88.5-93.3%），但报告已透明解释为论文原始步长排程的固有行为，且不影响核心claim方向与量级。B维度因CPGD基线偏离论文锚值扣2分。总体supported。,DeepSeek-V4-Flash-0731,
2311.04765_voraus_ad,cs,60.0,partially_supported,10,20,13,24,67,partially_supported,数据验证：样本总数2122、训练948、异常755与论文锚一致；但miss_can样本数11（锚72）严重不符（agent诚实记录冻结数据实际分布）。主方法平均AUROC=85.14% vs 锚93.6%（差8.46pp，半档内）；深度方法−PCA=17.27pp、−1NN=9.98pp均>0，相对优势claim方向支持；entangled/invalid_position AUROC=1.0吻合论文，miss_can主方法0.975吻合。A1交付完整但缺标准命名metrics/evidence_table与claim.md；A2绝对数值偏离半档；A3防泄漏与方法严谨；B证据可验证但miss_can样本数与锚不符导致部分类别无法完全验证。,DeepSeek-V4-Flash-0731,
2406.12747_tsibench,cs,100.0,supported,12,33,15,40,100,supported,"提交物完整（claim.md/code/results/evidence/report 齐全），代码真实可运行，实测结果与冻结参考协议 bit-for-bit 一致（seed42 Linear MAE=0.2033249300539183，test 掩码点 2385，窗口 213/76/72）。Linear MAE 0.2037 落在满分带 [0.16,0.25]，C1 排序 Linear<LOCF<Median≈Mean 在全部 3 个种子上成立且跨种子稳健；C2 正确区分实测简单基线与论文引用深度数值，未抄数，结论 supported 与证据匹配。Median/Mean 与论文偏差 +16~18% 已按锚说明归因于定义口径差异，不扣分。B 维度证据真实可重算，verify_anchor 全部 PASS。",DeepSeek-V4-Flash-0731,
2103.12057_tsf_experimental_review,cs,41.0,partially_supported,4,10,10,10,34,partially_supported,"提交物包含完整训练/评估代码（run_grid.py/experiment.py/models.py等），但缺失任务明确要求的 evidence_table.csv、report.md 和 metrics.json 等机器可读结果文件，核心数值仅存在于散文式 EVAL_REPORT 中（GRU WAPE=17.7, MLP=20.2），无法独立验证。尝试真实执行 run_grid.py 和 bench2.py 均因超时（90s）未产出结果，且代码硬编码数据路径指向 /mnt/f/... 在沙箱中不可用。与论文真值比对：GRU 17.7 vs 15.182（偏离16.6%，方向正确但幅度弱于论文），MLP 20.2 vs 21.114（偏离4.3%），方向性 claim（序列模型优于MLP）部分支持，但无落盘证据、无全网格搜索、单配置复现，证据等级为 unverified。A1 因缺关键交付物给4分；A2 方向性成立但幅度弱且无证据支撑给10分；A3 方法逻辑正确（防泄漏归一化、固定起点）但无实际结果验证给10分；B 因数值无法独立验证且与真值偏差超容差给10分。",DeepSeek-V4-Flash-0731,
2406.16590_beyond_avg_forecast,cs,82.0,partially_supported,12,15,15,20,62,partially_supported,提交物完整（A1满分）：包含可运行代码（method/nhits.py、baselines/classical.py、protocols/evaluation.py）、结果文件（evidence_table.csv、metrics.json、winloss_table.csv、figures）、report.md 与 README，数据事实正确（M3 3003 序列、Tourism 1311 序列、末H留测、无泄漏）。A2科学保真（15/33）：在冻结数据（M3+Tourism，无M4）上独立复现了F2（末步NHITS最优21.54 vs 首步ETS 12.48最优，方向与论文一致）、F5（NHITS vs Theta 0.626、vs ETS 0.432，落在30-70%带，支持'非稳定全胜'）、部分F3（年度NHITS最优20.33）；但F1未复现（Overall ETS 16.99最优而非NHITS，最佳经典为ETS而非Theta）、F4未复现（异常点NHITS 20.32仍最优，论文中ETS/SES/Theta超越NHITS），F6困难问题NHITS仍最优（59.46）与论文'优势缩小'方向不符。因核心发现F1/F4方向偏离，结论标签partially_supported合理。A3方法严谨（15/15）：严格末H留测、条件定义基于SNaive训练期残差、固定种子、代码可复现,DeepSeek-V4-Flash-0731,
2509.16616_risky_investors_ranking,cs,50.0,contradicted,10,5,10,15,40,contradicted,提交物完整（代码、evidence_table、metrics.json、report.md 齐全，A1 给 10）。但复现结果与论文真值方向相反：with-prior 3-fold 下 PA-RiskRanker 在 creditcard F1=0.9088（论文 0.9870）、jobprofit F1=0.8046（论文 0.9491），均非最高，且低于 Rankformer（0.9357/0.8506）与 XGB/LGBM；财务损失也非最低（creditcard 100.6k vs 论文 31.4k，jobprofit 35.3k vs 19.4k）。claim (a)(b)(c)(d) 全部 contradicted，与论文方向不一致，A2 给 5。方法上实现了 PA-BCE+transformer+attention 与 Rankformer/λMART/GBM 等基线，协议声明清晰、防泄漏合理，但 PA-RiskRanker 实现为自研近似（非官方代码），且未复现论文排序，A3 给 10。B 维度：metrics.json 与 evidence_table 一致、可复算，但数值与论文锚点严重偏离且方向相反，证据真实性存疑（可能实现口径/超参差异导致），给 15。结论 contradicted。,DeepSeek-V4-Flash-0731,
2507.12295_textadbench,cs,93.0,supported,12,33,15,38,98,supported,复现脚本真实执行成功：KNN AUROC=94.85%（与锚点93.96差0.89pp，≤3pp满分档；与裁判基准94.85完全一致）；深度最高DPAD=94.10%（与锚点92.63差1.47pp，≤4pp满分档）；AE=93.72、DSVDD=75.92（DSVDD偏离-11pp，但报告给出pyod版本bug的源码级解释，且方向性claim KNN>所有深度方法成立，deep_max_minus_knn=-0.75pp）。证据表、逐seed JSON、运行日志、哈希校验齐全，代码可复现。A1交付完整（代码/结果/报告/证据齐全）；A2科学保真（KNN与深度最高值均在满分容差内，方向性claim supported）；A3方法严谨（官方参数、防泄漏、5-seed平均、DSVDD差异科学解释）；B证据真实（哈希MATCH、KNN与裁判基准分毫不差、分数落盘可审计）。DSVDD偏离因上游pyod版本bug，不影响核心claim，B扣2分。,DeepSeek-V4-Flash-0731,
2408.07579_tabularbench_adv_robustness,cs,100.0,supported,12,33,15,40,100,supported,提交物完整（claim.md/code/results/evidence/report 齐全，metrics.json 含全部要求字段）。复现脚本协议与 TASK.md 一致（DefaultSplitter seed42 两次、min-max train 拟合、4 MLP、FGSM-AT ε=0.1、PGD-L2 ε=0.25 40步）。实测：test=2286 与锚一致；std clean 跨度 2.19pp(≤5)、robust 跨度 33.38pp(≥15) → C1 成立；AT 平均鲁棒提升 +49.67pp(≥20)、clean 变化 −1.37pp(≤5) → C2 成立，均落在冻结参考带（std robust 12.4–50.9、AT robust 76.9–77.8、AT clean 89.9–92.8）内，与锚 A2/A3 判据吻合。代码可运行（沙箱超时但证据含 rerun 日志与 main_metrics 一致，且数值与参考带高度一致，无取巧迹象）。结论 supported。,DeepSeek-V4-Flash-0731,
2604.08131_gnn_misinfo,cs,50.0,contradicted,12,5,15,13,45,contradicted,提交物完整（代码、evidence_table.csv、report.md、多级metrics、figures），A1满分。真实执行verify_evidence.py与analyze_results.py复现：GraphSAGE F1=92.10%（与锚A1 91.9%吻合，±5pp内），但MLP F1=92.87%（与锚A2 66.8%严重偏离，绝对差26.07pp远超容差），f1_gap_pp=-0.77（与锚A3 +25.1pp方向相反）。claim(a) supported，claim(b)(c) contradicted。方法严谨（TF-IDF仅train拟合、k-NN图仅train构建、val/test隔离、3种子平均、防泄漏审计完善），A3满分。但核心科学结论与论文真值矛盾（MLP数值及GNN优势方向均不符），按contradicted硬上限总分≤45，A2给5分、B给13分。证据真实可验证（predictions.csv与evidence_table一致，verify脚本PASS）。,DeepSeek-V4-Flash-0731,
2507.05730_had_survey,cs,100.0,supported,12,33,15,40,100,supported,复现脚本真实执行成功：14个冻结数据集全局RX AUC与PAPER_ANCHOR自检真值完全一致（11/14精确匹配|Δ|≤0.01，3个版本差异行sandiego/airport-3/beach-2分别-0.0184/-0.0238/-0.0893均被正确归因为版本差异且数值与锚点自检值吻合）；min_auc=0.8221≥0.80满足claim(b)；n_match=11满足claim(a)≥10/14；mean_auc=0.9350与论文RX平均0.9390接近。代码完整可运行、含SHA-256校验、GT仅用于评估无泄漏，方法严谨。运行时间实测均值5.7s略超5s但受环境负载影响（单图最大11.9s），且任务允许100×100量级<5s的宽松口径，不影响结论。提交物包含evidence_table.csv/summary.json/report.md/代码，交付完整。B维度证据真实可验证，与真值一致。,DeepSeek-V4-Flash-0731,
2607.18127_cloudens,cs,90.0,partially_supported,12,13,15,22,62,partially_supported,提交物完整（A1=12）：含可运行代码、evidence_table.csv、data_facts.json、report.md，覆盖全部必需输出。科学保真（A2=13）：MD ClouDens NAB Standard=16.84/LowFN=21.76，方向正确（ClouDens>GRU，比值2.61x/1.92x≥1.3），但偏离论文真值20.94/26.24约17-20%，且MD下TP/FP未严格优于GRU（14/39 vs 15/38），claim B仅部分成立；LF行几乎逐位复现论文（GRU LF 6.58/13.16完全吻合，ClouDens LF 11.67/18.31接近11.38/18.11），claim A/C方向支持。方法严谨（A3=15）：防泄漏措施完备（训练剔除异常窗、min-max仅训练段、标签仅评估），batch16交叉验证精确复现GRU锚值5.89证明管线sound，图构建/评分/NAB与论文一致。证据真实性（B=22）：data_facts确认39365行/2406特征/26488测试点/19测试窗，与真值一致；但核心MD ClouDens NAB偏离约20%（16.84 vs 20.94），TP/FP偏离（14/39 vs 16/37），truth_check=diverged，故B给22分。总体结论partially_supported。,DeepSeek-V4-Flash-0731,
2505.01415_everglades_water_level,cs,79.0,partially_supported,12,13,15,15,55,partially_supported,提交物完整（代码、evidence_table.csv、report.md、claim_analysis.md 均存在），verify_data.py 可运行且数据事实（1411行、日期范围、sha256）与真值一致。A1 交付完整度满分。A2 科学保真：复现结果与论文锚值严重偏离——NBEATS 28d MAE 0.451 vs 锚 0.176、NLinear 0.397 vs 0.185、Chronos 0.348 vs 0.088，均远超容差；但 claim (a) MLP<线性排序成立（最佳MLP 0.298 < 线性0.397/0.451），claim (b) 线性退化增幅≥50%成立（DLinear+69%、NLinear+83%），claim (c) Chronos 最优被反驳（0.348 > 0.298）。A3 方法严谨：防泄漏设计严密（标准化仅训练段拟合、测试段不参与训练/早停、滚动窗口无未来信息、固定种子），与论文协议基本一致，无取巧。B 证据真实性：证据表可复现（make_evidence.py 成功重跑生成相同 claim_analysis），数据事实核对正确，但模型输出数值与论文真值显著偏离（diverged），且 Chronos 仅用 small 权重、单变量输入与论文协议不一致，故 B 给 15/40。综合结论 partially_supported：,DeepSeek-V4-Flash-0731,
1705.10450_rsi_cb256,earth,100.0,supported,12,33,15,39,99,supported,提交物完整（代码、report.md、metrics.json、evidence_table.csv、predictions.npz、verify脚本），A1满分。核心指标 label_2 测试 OA=95.06%（0.950569），与论文锚 VGG-16 95.13% 相对差仅 -0.08%，远在10%容差带内，A2满分。方法为 ImageNet 预训练 ResNet-18 多任务微调（细类35+粗类7辅助），固定种子、防泄漏协议清晰、提供去近重复稳健性分析，与论文深度CNN场景分类方法一致，A3满分。B维度：metrics.json 与 evidence_table 内部自洽（11769/12381=0.950569），predictions.npz 可复核，无抄袭锚值嫌疑，但未独立重跑全管线（CPU预算限制），扣1分。结论 supported。,DeepSeek-V4-Flash-0731,
1509.03602_deepsat,earth,100.0,supported,12,33,15,36,96,supported,提交物完整（代码/模型/结果/报告/证据表齐全）。复现脚本因解码81000图超时未能完整重跑，但冻结parquet可读且类分布与报告完全一致（barren18367/building3714/grassland12596/road2070/trees14185/water30068，多数类water占37.12%）。报告OA=99.65%远超论文锚93.9%（相对差6.1%≤10%满分带），且高于多数类基线62.4pp，claim实质成立。方法严谨：固定种子70/15/15划分、归一化统计仅用训练子集、防泄漏声明、混淆矩阵显示grassland↔barren/trees为主要混淆符合论文直觉。B维度因复现超时未能完全独立重算，但数据可验证且证据自洽，扣4分。,DeepSeek-V4-Flash-0731,
1703.00121_resisc45,earth,54.0,partially_supported,6,14,10,12,42,partially_supported,提交物缺失TASK强制要求的metrics.json、evidence_table.csv和标准report.md（仅有EVAL_REPORT散文），A1交付不完整。10%训练比例OA=89.45%（从confusion矩阵和preds npz独立重算一致），与论文锚87.15±0.45相对差2.6%在d≤10%容差内，科学结论支持；20%训练比例OA=92.39%（从confusion矩阵重算），与锚90.36±0.18相对差2.2%也在容差内，但20%无独立JSON落盘，仅靠confusion npy和logs20文本支撑，证据链稍弱。数据划分严格按论文口径（每类10%/20%固定种子），方法为ResNet18微调（非论文VGGNet-16但属深度CNN微调，合理）。B维度：10%有preds npz可独立验证，20%仅有confusion npy可验证，但缺metrics.json/evidence_table.csv，整体truth_check=unverified。综合判定partially_supported。,DeepSeek-V4-Flash-0731,
1712.07835_rsicd,earth,7.0,inconclusive,2,0,0,5,7,unverified,提交物严重缺失：agent_solution 下仅有 EVAL_REPORT 各版本和 checkpoints/e2e_resnet18_test_pred.json（200条预测文本），无 metrics.json、evidence_table.csv、report.md 及任何可运行代码（src 目录为空）。无法从冻结数据重算 CIDEr/BLEU 等关键指标，无法与论文锚点 CIDEr 1.98312 做容差比对。A1 交付完整度低（仅预测 JSON，缺核心产物）给2分；A2 科学保真无法验证给0分；A3 方法不可复现给0分；B 证据真实性无法核对（truth_check=empty）给5分。结论 unverified。,DeepSeek-V4-Flash-0731,
1912.12171_so2sat,earth,50.0,contradicted,12,10,15,25,62,partially_supported,提交物完整（A1=12）：含可运行代码、metrics.json、evidence_table.csv、report.md，且 verify_results.py 真实执行成功复现 OA=0.9747/Kappa=0.9723。科学保真（A2=10）：核心指标 OA 0.9747 与论文锚 0.61 相对差约 59.8%，远超 30% 容差，数值上无法复现论文真值；但 agent 明确识别并量化了冻结 validation 内部空间自相关（83.7% 同标签近邻）导致的协议差异，解释合理，方向（深度>浅层）与论文一致，故给部分分。方法严谨（A3=15）：方法忠实于论文（ResNeXt+CBAM、S2 only、SVM 基线），防泄漏（训练子集归一化）、固定种子、多协议敏感性分析，无取巧。证据真实性（B=25）：verify_results.py 真实重算与 metrics.json 一致，证据可验证；但绝对数值与论文真值 diverged（OA/Kappa 均严重偏离），按规则 supported 且 truth_check≠matched 时 B≤25。结论：claim 方向成立但数值无法直接复现，判定 partially_supported。,DeepSeek-V4-Flash-0731,
1902.06701_hybridsn,earth,79.0,partially_supported,12,33,15,38,98,supported,提交物完整（method/protocols/results/report 齐全，含可运行代码、metrics.json、evidence_table.csv、splits/checkpoints 等）。核心指标 HybridSN OA=99.85%（3-seed 均值，std 0.04%）与论文锚点 99.75±0.1% 高度吻合（绝对差 0.10pp，相对差约 0.1%，在容差内），A2 满分。方法严谨：30/70 划分按固定种子从冻结 GT 实现（3075/7174，16 类全覆盖），PCA/标准化仅拟合训练集，防泄漏措施到位，架构符合 HybridSN 3D-2D 精神，A3 满分。证据真实可验证：split npz 可加载、train/test 索引形状正确、GT 标注数 10249 与数据一致、ratio_sweep 与 metrics.json 自洽。基线 SVM(79.67%) 与论文 91.70% 有偏离、2D-CNN(99.67%) 略高于论文 97.09%，但核心主锚完美复现，不影响结论。B 扣 2 分因基线偏离且未独立重跑训练。结论 supported。,DeepSeek-V4-Flash-0731,
1608.05167_aid,earth,63.0,partially_supported,12,30,13,36,91,supported,提交物完整（代码/报告/证据表/metrics.json 齐全，可重跑）。多标签 mAP=0.8023、macro-F1=0.7439、subset acc=0.3333 已通过 recompute_metrics.py 从冻结 parquet+预测文件真实重算一致；单标签 30 类 OA=0.9466 从 singlelabel_test_preds.npz 重算一致，落在论文 86.39–94.71% 区间内（相对差约2%），支持 claim。方法为 ResNet18 微调（论文为 GoogLeNet，但同为深度 CNN 微调，口径差异已在报告中说明），防泄漏声明合理。稀有类（mobile home 0 正样本、chaparral AP 0.13）导致 mAP 略低于论文量级，但整体高精度成立。B 维度证据真实可验证，与真值一致。,DeepSeek-V4-Flash-0731,
2607.16250_multiomics_breast_cancer_er,biomed,46.0,partially_supported,6,10,10,15,41,partially_supported,"提交物缺失任务明确要求的 claim.md、report.md、metrics.json（A1 扣分）；代码可运行且折内特征选择/泄漏对照实现严谨（A3 10/15）。但数据装配使用 PAM50 亚型推断 ER 状态（ER+=LumA/LumB, ER-=Basal/Her2），导致样本量 770 与论文真值 549 严重偏离（相对差 40%），ER+ 比例 72.2% vs 75.4% 偏离；复现 RF RNA-only Balanced Acc 0.9352 vs 论文 92.35% 准确率口径不同，XGBoost RNA BAcc 0.9578 vs 论文 88.69%、AUC 0.9956 vs 95.61% 均系统性虚高，集成 RF BAcc 0.9454 vs 90.3% 偏离。定性方向（RNA 最强、集成增益、防泄漏）支持论文，但关键数字与真值显著偏离，故 A2 10/33、B 15/40，结论 partially_supported。",DeepSeek-V4-Flash-0731,
2003.07333_rsvqa,earth,42.0,partially_supported,6,12,10,18,46,partially_supported,提交物包含可运行代码、metrics.json、report.md，但 evidence_table.csv 的 prediction/correct 列为空，破坏逐行核对证据链（A1 扣分）。复现指标 OA=68.10% vs 锚 79.08%，相对偏差约 13.9%（d≤30% 半满）；Count 26.87% vs 67.01% 严重偏离，Presence 87.93% vs 87.46% 吻合，Comparison 86.67% vs 81.50% 略高；随机换图消融 32.14% vs 锚 73.78% 偏离（口径差异已说明）。方法采用 image-level split 防泄漏、CNN+LSTM 融合与论文一致，诚实报告局限，但核心指标未达论文量级，结论 partially_supported。B 维度因证据表关键列缺失且多项指标偏离真值，判定 diverged，给 18 分。,DeepSeek-V4-Flash-0731,
2110.08733_loveda,earth,28.0,partially_supported,4,10,10,8,32,partially_supported,提交物严重缺失核心交付文件：results/ 目录为空，无 metrics.json、evidence_table.csv、report.md，仅有代码、数据解码、splits 和 evidence 示例图。EVAL_REPORT_v7 声称 mIoU=38.5%（DeepLabV3-ResNet18），与论文锚 49.79%（HRNet W32）相对差约 22.67%，在 30% 容差内但超出 10% 满分线，且该数值无任何机器可读证据支撑，无法独立重算验证（B 维度 unverified）。代码结构完整（固定种子 2026、85/15 划分、防泄漏设计），方法上采用 DeepLabV3 而非论文 HRNet，但任务允许对比方法；A1 因核心产物缺失仅给 4 分，A2 因偏离且无证据给 10 分，A3 方法合理但不可复算给 10 分，B 因证据缺失给 8 分。结论 partially_supported（声称值在容差内但证据不可验证）。,DeepSeek-V4-Flash-0731,
2104.02846_multiscene,earth,50.0,contradicted,10,8,10,20,48,contradicted,提交物完整（代码/报告/evidence/metrics齐全），但复现mAP=41.6%远低于论文锚64.8%（绝对差23.2pp，远超±10pp半满带），且方法为冻结ResNet50特征+线性LR，未做端到端微调，与论文ResNeXt-101微调方法不一致，科学保真不足。证据真实可验证（特征文件存在、metrics与report一致），但结果与真值矛盾，故conclusion=contradicted。,DeepSeek-V4-Flash-0731,
2010.00243_mlrsnet,earth,16.0,inconclusive,4,2,4,8,18,unverified,提交物仅有代码脚本和prep.log，核心交付物metrics.json、evidence_table.csv、report.md均缺失；preds/、checkpoints/、results/、figures/目录全为空，无任何落盘结果可验证。EVAL_REPORT散文声称mAP=89.21%、F1=0.8579，但无机器可读证据支撑，无法与论文锚值88.77%做真实比对。代码结构完整且prep.log证实正确读取冻结40/60划分，但未实际运行产出结果，属于空壳提交。A1交付完整度低（缺结果文件），A2科学保真无法验证，A3方法设计合理但不可复现，B证据真实性缺失。结论判定为unverified。,DeepSeek-V4-Flash-0731,
2304.11619_satin,earth,76.0,partially_supported,12,14,15,22,63,partially_supported,提交物完整（metrics.json、evidence_table.csv、代码、报告齐全），A1=12。零样本SAT-4 OA=0.38435（ViT-B/32）与论文锚0.54（ViT-G/14）相对差28.8%，超出10%容差带但未超30%半满线，且agent诚实说明模型规模差异（~45x参数差），定性复现了'零样本VL弱于监督但高于多数类基线'的趋势，A2=14（受partially_supported硬上限约束）。方法严谨：固定种子分层划分、仅用训练集估计归一化统计、防泄漏到位、基线对比完整，A3=15。证据链内部数值一致（metrics.json与evidence_table.csv完全吻合），但零样本结果与锚点偏离且SATIN overall 52.0%未计算，truth_check=diverged，B=22。结论partially_supported。,DeepSeek-V4-Flash-0731,
2012.02951_floodnet,earth,78.0,partially_supported,12,10,15,22,59,partially_supported,提交物完整（代码、metrics.json、evidence_table.csv 4511行、报告），A1=12。核心OA=0.8127 vs 论文锚0.72，相对差12.9%超出10%容差带（落在≤30%半满带），且按类型中Condition 0.9915 vs 0.96、Simple 0.3571 vs 0.31、Complex 0.3011 vs 0.28均偏离，仅Yes/No 0.9851吻合；结论标supported但数字偏离，A2=10。方法采用图级85/15划分防泄漏、随机换图与纯语言消融，方法严谨，A3=15。B维度因核心OA及多个子项超出10%容差带，truth_check=diverged，B=22。复现脚本evaluate.py执行超时未能在沙箱内重算，但已有metrics.json与报告自洽；结论判定为partially_supported（claim量级成立但数字偏离锚点）。,DeepSeek-V4-Flash-0731,
1709.00029_eurosat,earth,80.0,partially_supported,12,33,15,38,98,supported,提交物完整（report.md、metrics.json、evidence_table.csv、可运行代码齐全）。实测test OA=97.9074%，与论文锚98.57%相对差0.67%（远小于10%容差带），A2满分。方法为紧凑VGG风格CNN，RGB-only，防泄漏声明合理（统计仅从train估计），A3满分。B维度：已真实读取冻结parquet验证数据（5400行、64×64×3 uint8、10类分布），与提交metrics一致；但未独立重跑完整训练（CPU训练45epoch成本高），且README存在占位符笔误，故B扣2分。结论supported。,DeepSeek-V4-Flash-0731,
2001.10591_stability_ml_predictions,materials,100.0,supported,12,33,15,40,100,supported,提交物完整（claim.md/code/results/evidence_table.csv/metrics.json/report.md），代码可运行且运行日志真实。复现结果与论文锚高度吻合：数据划分 59509/12752/12753 精确匹配；冻结6模型ΔHd MAE 0.0694-0.1007 vs 锚0.069-0.101（±0.01内）；5分类器acc 0.723-0.792/F1 0.631-0.732/FPR 0.153-0.219 vs 锚0.72-0.79/0.63-0.73/0.15-0.22（±0.03内）；自训ElFrac+LightGBM Ef test MAE=0.1495（≤0.2）而稳定性acc=0.760/F1=0.694/FPR=0.181（acc<80%、F1<0.75、FPR>0.15），方向与论文核心论断完全一致。hull重建补充脚本也佐证（acc 0.578/FPR 0.375）。结论supported，证据真实可验证。,DeepSeek-V4-Flash-0731,
2203.14090_radonpy_polymer_informatics,materials,100.0,supported,12,33,15,40,100,supported,"提交物完整（claim.md/report.md/code/evidence_table/metrics.json/evidence 图与表齐全），代码真实可运行并成功复现关键指标：1,077行/157列/20类/1,077唯一monomer_ID；thermal_conductivity_count口径成功数1,070/1,001/759与论文锚精确一致；density/thermal_conductivity/refractive_index分布物理合理且与实验趋势方向一致（97-99%落入典型区间），Cp高估如实报告为部分偏移；TC分解求和与总TC完全一致，top-8高热导率聚合物与论文机制方向吻合。证据全部由冻结数据代码重算，无抄写论文数字，结论supported合理。",DeepSeek-V4-Flash-0731,
2207.04009_mg_mtp_defect_training,materials,55.0,partially_supported,6,14,13,26,59,partially_supported,"提交物包含可运行代码与结果CSV（A1部分满足，但缺失TASK.md明确要求的claim.md、metrics.json、evidence_table.csv，故A1=6）。科学保真：MTP最优RMSE 4.367 meV/atom（Everything, level24/cutoff8.2）与论文锚~10 meV/atom量级吻合；经典对势RMSE 845.95 meV/atom，与MTP相差约200倍，验证了MTP优于经典势1-2个数量级的方向性；Everything 17210 / EverythingNoShear 12833 构型数与论文两套训练集吻合。但未核查DFT收敛参数（0.6/6.4 meV/atom），且自评partially_supported触发A2≤15硬上限，故A2=14。方法严谨：代码完整可复现，解析cfg/h5并自行拟合经典势与代理势对照，无取巧，A3=13。证据真实性：核心指标（MTP RMSE、经典势对照、构型数）与真值匹配，但缺少规范化证据文件且未独立重算DFT收敛，B=26。综合结论partially_supported。",DeepSeek-V4-Flash-0731,
